,substance_name,SUM(in kt/a)
0,Nitrogen oxides (NOx/NO2),273.016
1,Non-methane volatile organic compounds (NMVOC),39.22
2,Sulphur oxides (SOx/SO2),189.898
3,Ammonia (NH3),17.1421
4,,
5,Particulate matter (PM10),9.4204
6,Carbon monoxide (CO),809.315
7,Lead and compounds (as Pb),0.03415339999999999
8,Cadmium and compounds (as Cd),0.0010689699999999998
9,Mercury and compounds (as Hg),0.005855689999999998
10,,
11,Polycyclic aromatic hydrocarbons (PAHs),0.00091681
12,,
13,Polychlorinated biphenyls (PCBs),3.1600000000000002e-06
